81;1414;Mielagėnai-Paliesius;4;0;2.354;3
82;1415;Ceikiniai-Velykamiškis-Šventa;4;0;3.097;3
83;1416;Didžiasalis-Navikai-Vosiūnai;4;0;8.543;3
84;1418;Andriejauka-Erzvėtas;4;0;3.939;3
85;1419;Kliukai-Sekonys-Pivorai-Galalaukiai;4;0;10.903;3
86;1420;Kazimieravas-Meikštai;4;0;7.564;3
87;1422;Pakiaunys-Krivasalis-Linkmenys-Antalksnė;4;0;10.345;3
88;1423;Aza-Vaišniūnai-Ginučiai-Kirdeikiai;4;4.15;15.452;3
89;1425;Pažieviškė-Bajorai-Gudeniškė;4;0;4.193;3
90;1426;Vidiškės-Dūdos-Pagurbė;4;0;12.272;3
91;1427;Izabelinė-Šiūlėnai-Trapikiškė;4;0;2.979;3
92;1428;Ceikiniai-Kančioginas;4;0;5.763;3
93;1430;Kazokinė-Dindos;4;0;4.138;3
94;1431;Dūkštas-Kaniūkai-Bikėnai;4;0;3.839;3
95;1432;Mikalavas-Senasis Daugėliškis-Panižiškė;4;0;9.886;3
96;1433;Kirdeikiai-Antalksnė-Šakarva;4;2.1;10.261;3
97;1434;Prūčiai-Šiūlėnai;4;0;3.99;3
98;1435;Strigailiškis-Meironys;4;0;3.831;3
99;1437;Šukeliškė-Senasis Dūkštas;4;0;3.389;3
100;1438;Kazitiškis-Bajorai I;4;0;1.285;3
